iter	Passed	Remaining
675	1834	879
676	1837	876
677	1839	873
678	1842	870
679	1844	867
680	1846	865
681	1849	862
682	1851	859
683	1854	856
684	1856	853
685	1858	850
686	1861	848
687	1863	845
688	1866	842
689	1868	839
690	1871	836
691	1874	834
692	1876	831
693	1879	828
694	1881	825
695	1884	822
696	1886	820
697	1888	817
698	1890	814
699	1893	811
700	1895	808
701	1897	805
702	1900	802
703	1902	799
704	1904	796
705	1906	794
706	1909	791
707	1911	788
708	1913	785
709	1916	782
710	1918	779
711	1920	776
712	1922	774
713	1925	771
714	1928	768
715	1930	765
716	1933	763
717	1936	760
718	1938	757
719	1941	754
720	1943	752
721	1946	749
722	1948	746
723	1950	743
724	1953	741
725	1956	738
726	1958	735
727	1961	732
728	1964	730
729	1967	727
730	1969	724
731	1972	722
732	1975	719
733	1977	716
734	1980	713
735	1982	711
736	1985	708
737	1987	705
738	1990	702
739	1992	700
740	1994	697
741	1997	694
742	1999	691
743	2002	689
744	2005	686
745	2007	683
746	2010	680
747	2012	678
748	2015	675
749	2017	672
750	2020	669
751	2022	667
752	2025	664
753	2028	661
754	2030	659
755	2033	656
756	2036	653
757	2038	650
758	2041	648
759	2043	645
760	2045	642
761	2048	639
762	2051	637
763	2053	634
764	2055	631
765	2058	628
766	2060	625
767	2063	623
768	2065	620
769	2067	617
770	2069	614
771	2072	612
772	2074	609
773	2077	606
774	2079	603
775	2082	601
776	2084	598
777	2086	595
778	2089	592
779	2092	590
780	2095	587
781	2097	584
782	2099	581
783	2102	579
784	2104	576
785	2107	573
786	2110	571
787	2112	568
788	2115	565
789	2117	562
790	2120	560
791	2123	557
792	2126	554
793	2128	552
794	2131	549
795	2133	546
796	2135	544
797	2138	541
798	2141	538
799	2143	535
800	2146	533
801	2148	530
802	2150	527
803	2153	525
804	2156	522
805	2158	519
806	2161	516
807	2163	514
808	2166	511
809	2168	508
810	2171	505
811	2173	503
812	2176	500
813	2178	497
814	2181	495
815	2183	492
816	2186	489
817	2188	486
818	2190	484
819	2192	481
820	2195	478
821	2197	475
822	2199	473
823	2202	470
824	2204	467
825	2207	464
826	2209	462
827	2211	459
828	2214	456
829	2216	453
830	2218	451
831	2220	448
832	2222	445
833	2225	442
834	2227	440
835	2230	437
836	2232	434
837	2235	432
838	2237	429
839	2239	426
840	2242	423
841	2244	421
842	2247	418
843	2249	415
844	2253	413
845	2256	410
846	2258	408
847	2261	405
848	2264	402
849	2266	400
850	2269	397
851	2271	394
852	2274	391
853	2276	389
854	2279	386
855	2281	383
856	2283	381
857	2286	378
858	2288	375
859	2291	373
860	2293	370
861	2296	367
862	2298	364
863	2301	362
864	2303	359
865	2305	356
866	2308	354
867	2310	351
868	2312	348
869	2315	345
870	2317	343
871	2320	340
872	2322	337
873	2338	337
874	2341	334
875	2344	331
876	2354	330
877	2356	327
878	2358	324
879	2360	321
880	2363	319
881	2365	316
882	2367	313
883	2369	310
884	2371	308
885	2374	305
886	2376	302
887	2379	300
888	2381	297
889	2384	294
890	2386	291
891	2388	289
892	2391	286
893	2395	284
894	2398	281
895	2401	278
896	2403	275
897	2405	273
898	2407	270
899	2410	267
900	2412	265
901	2415	262
902	2417	259
903	2419	256
904	2422	254
905	2424	251
906	2427	248
907	2430	246
908	2432	243
909	2435	240
910	2438	238
911	2440	235
912	2443	232
913	2445	230
914	2448	227
915	2450	224
916	2453	222
917	2456	219
918	2458	216
919	2460	213
920	2463	211
921	2465	208
922	2468	205
923	2470	203
924	2473	200
925	2475	197
926	2477	195
927	2480	192
928	2482	189
929	2485	187
930	2489	184
931	2492	181
932	2494	179
933	2496	176
934	2499	173
935	2501	171
936	2503	168
937	2506	165
938	2508	162
939	2510	160
940	2513	157
941	2515	154
942	2518	152
943	2520	149
944	2522	146
945	2525	144
946	2527	141
947	2529	138
948	2532	136
949	2534	133
950	2536	130
951	2538	128
952	2541	125
953	2543	122
954	2546	119
955	2548	117
956	2550	114
957	2553	111
958	2555	109
959	2558	106
960	2561	103
961	2564	101
962	2566	98
963	2569	95
964	2571	93
965	2573	90
966	2576	87
967	2578	85
968	2581	82
969	2583	79
970	2585	77
971	2588	74
972	2591	71
973	2594	69
974	2596	66
975	2599	63
976	2602	61
977	2605	58
978	2607	55
979	2610	53
980	2612	50
981	2615	47
982	2618	45
983	2621	42
984	2624	39
985	2627	37
986	2629	34
987	2632	31
988	2634	29
989	2637	26
990	2640	23
991	2642	21
992	2645	18
993	2648	15
994	2650	13
995	2653	10
996	2655	7
997	2658	5
998	2660	2
999	2663	0
